MatchId,Year,TournamentRound,PieRound,Pie,Votes,Opponent,OpponentVotes,Result
S3DTmBuqgIpbL,1,3,2,Razzelberry,3,French Coconut,0,Win
CBBcSIutmlKqS,1,4,3,Razzelberry,1,Pumpkin,2,Loss
gdyCY3Pn6QGxI,2,1,1,Razzelberry,1,Coffee Cake Muffin ,3,Loss
mwSKpJRn49l_,1,1,1,French Coconut,2,Honey Pecan,1,Win
r5aV3AzIauF3,1,2,2,French Coconut,2,Raspberry Muffin,1,Win
S3DTmBuqgIpbL,1,3,3,French Coconut,0,Razzelberry,3,Loss
PIfHLelaNKu9f,2,1,1,French Coconut,0,Pumpkin,4,Loss
Ou2cz2DTjSP6,1,1,1,Mixed Berry,1,Maple Bourbon Walnut ,2,Loss
ZjAZVgCiJxpW6,2,1,1,Mixed Berry,3,Oreo Cream,1,Win
1F5DkvGGqhxIR,2,2,2,Mixed Berry,3,Strawberry Shortcake ,1,Win
EV28vjHw5B0x5m,2,3,3,Mixed Berry,3,Coffee Cake Muffin ,1,Win
jkfgtZNplfPcri,2,4,4,Mixed Berry,4,Buckeye,0,Win
mFP-R0hx6bkCyB,2,5,5,Mixed Berry,2,Bourbon Chocolate Pecan,2,TieLoss
,1,1,0,Raspberry Muffin,0,,,Bye
r5aV3AzIauF3,1,2,1,Raspberry Muffin,1,French Coconut,2,Loss
,2,1,0,Raspberry Muffin,0,,,Bye
aAjgTfPJ2SOmU,2,2,1,Raspberry Muffin,1,Apple Chai,3,Loss
,2,1,0,Coconut Chocolate Chip Cookie,0,,,Bye
Rc0H6uqjiC_Le,2,2,1,Coconut Chocolate Chip Cookie,0,Pumpkin,4,Loss
,1,1,0,Coconut Chocolate Chip Cookie,0,,,Bye
4BiEfRkMVU83,1,2,1,Coconut Chocolate Chip Cookie,0,Cinnamon Roll Apple,3,Loss
,1,1,0,Pumpkin Cream Cheese ,0,,,Bye
z2n42KAxJWEq,1,2,1,Pumpkin Cream Cheese ,2,Cranberry Streusel ,1,Win
f9wVf8K4jrutD,1,3,2,Pumpkin Cream Cheese ,1,Pumpkin,2,Loss
R35Vv2eEefoLd,2,1,1,Pumpkin Cream Cheese ,3,Peanut Chip,1,Win
